T FAR FRR
1.000000 1.000000 0.000000
1.100000 1.000000 0.000000
1.200000 1.000000 0.000000
1.300000 1.000000 0.000000
1.400000 1.000000 0.000000
1.500000 1.000000 0.000000
1.600000 1.000000 0.000000
1.700000 1.000000 0.000000
1.800000 1.000000 0.000000
1.900000 1.000000 0.000000
2.000000 1.000000 0.000000
2.100000 1.000000 0.000000
2.200000 1.000000 0.000000
2.300000 1.000000 0.000000
2.400000 1.000000 0.000000
2.500000 1.000000 0.000000
2.600000 1.000000 0.000000
2.700000 1.000000 0.000000
2.800000 1.000000 0.000000
2.900000 1.000000 0.000000
3.000000 1.000000 0.000000
3.100000 1.000000 0.000000
3.200000 1.000000 0.000000
3.300000 1.000000 0.000000
3.400000 1.000000 0.000000
3.500000 1.000000 0.000000
3.600000 1.000000 0.000000
3.700000 1.000000 0.000000
3.800000 1.000000 0.000000
3.900000 1.000000 0.000000
4.000000 1.000000 0.000000
4.100000 1.000000 0.000000
4.200000 1.000000 0.000000
4.300000 1.000000 0.000000
4.400000 1.000000 0.000000
4.500000 1.000000 0.000000
4.600000 1.000000 0.000000
4.700000 1.000000 0.000000
4.800000 1.000000 0.000000
4.900000 1.000000 0.000000
5.000000 1.000000 0.000000
5.100000 1.000000 0.000000
5.200000 1.000000 0.000000
5.300000 1.000000 0.000000
5.400000 1.000000 0.000000
5.500000 1.000000 0.000000
5.600000 1.000000 0.000000
5.700000 1.000000 0.000000
5.800000 1.000000 0.000000
5.900000 1.000000 0.000000
6.000000 1.000000 0.000000
6.100000 0.999999 0.000000
6.200000 0.999995 0.000000
6.300000 0.999986 0.000000
6.400000 0.999963 0.000000
6.500000 0.999913 0.000000
6.600000 0.999812 0.000000
6.700000 0.999626 0.000000
6.800000 0.999316 0.000000
6.900000 0.998843 0.000000
7.000000 0.998176 0.000000
7.100000 0.997305 0.000000
7.200000 0.996240 0.000000
7.300000 0.995011 0.000000
7.400000 0.993658 0.000000
7.500000 0.992221 0.000000
7.600000 0.990732 0.000000
7.700000 0.989217 0.000000
7.800000 0.987687 0.000000
7.900000 0.986152 0.000000
